baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
9989	1342.73437252318	-0.156571353078385	0.0349542351503981	-4.47932424796889	7.4879714519965e-06	0.00166159912854303
107075116	5.22720933107296	2.58030047608308	0.57718837930963	4.47046504846366	7.80496986710912e-06	0.00171107508074599
23314	240.487483497004	0.336305333855277	0.0762253076956063	4.41199050580758	1.02424605903414e-05	0.00221871205835538
6672	1752.97583192711	0.196383654066942	0.0446270499689963	4.40055200160834	1.07975846617164e-05	0.00231144530005401
694	1165.86533887098	0.302747328473908	0.0688672523645044	4.39610000514482	1.1021317169964e-05	0.00233190566540309
80176	323.61969209478	0.441968852999956	0.100716210284798	4.38825936510306	1.1426146403774e-05	0.00238977195359853
2134	23.9346360729537	-1.01297432429144	0.231793241088753	-4.3701633383847	1.24153632587406e-05	0.00256715852109142
114789	333.787498832826	-0.247715570315767	0.0570652886578896	-4.34091504909121	1.41890576916609e-05	0.00290094487367934
109623452	23.2445445487047	1.07470016089469	0.247865321833967	4.3358229902551	1.45215769635307e-05	0.00293594016031561
79647	1280.32085134827	-0.224966367893115	0.0519658947394291	-4.32911564442711	1.49709308040833e-05	0.00298425027941258
717	24.841184007959	0.924384663869657	0.213612423060284	4.32739187462325	1.5088537354691e-05	0.00298425027941258
219654	2875.58192020871	0.350794247339523	0.0813466214344209	4.31233948200691	1.6153615176561e-05	0.00316055034142693
80709	367.543524682537	0.416345039294827	0.0968226387224479	4.30007945237191	1.70736885623244e-05	0.00330503018170271
11213	655.440053615164	0.406552708611105	0.0946035003170237	4.29743833207773	1.72783308383524e-05	0.00330943692562801
51088	1331.00585067638	0.331603674771346	0.0773014381338559	4.28974780775926	1.78876123471186e-05	0.0033904478569601
55239	1008.9650865137	-0.167441413433423	0.0390549563892847	-4.28732813741825	1.80835067562195e-05	0.00339224215398114
9710	934.738505048286	-0.482150511252723	0.112873769592012	-4.27159040577345	1.94083814483421e-05	0.00360362151871462
1017	439.2592695095	-0.427359397419871	0.100285038096256	-4.26144722615234	2.03107319873225e-05	0.00373307150748809
144811	532.272545844382	0.456299141906302	0.107353139234265	4.25044991847486	2.13341535857841e-05	0.00388196258646927
389792	440.451214149646	-0.313465214830784	0.073968428851931	-4.23782442991015	2.25696148746179e-05	0.00406610606196581
541472	25.1912489476975	1.35218936807813	0.321069751639953	4.21151279798689	2.53666179779614e-05	0.00452520569340181
1435	4890.85189223597	0.331527499570576	0.0795346753271067	4.16833913267496	3.06827191387299e-05	0.00542041512085756
2107	3126.14925034563	-0.173488826095742	0.0418216323187055	-4.14830355672526	3.34948083198509e-05	0.00586030319411545
7157	791.321739025189	0.318744839347096	0.076912367038445	4.14425991060411	3.40912914258802e-05	0.00590785846462206
57060	610.740214723368	-0.25771672222197	0.0626337464676892	-4.11466241054123	3.87746472797994e-05	0.00665607058399274
25940	2395.12261402245	-0.1899077563354	0.0463991991598094	-4.0929102177241	4.25992695899575e-05	0.00724426457438194
7881	1779.22523099297	-0.193182897747519	0.0473671664234131	-4.07841364249374	4.53440389706034e-05	0.00758411163150435
55601	222.019057382252	0.410655742777838	0.100753593457397	4.07584214801709	4.58481138418047e-05	0.00758411163150435
4601	507.371555505328	0.295830469032101	0.0725803896517583	4.07590081083196	4.58365555183969e-05	0.00758411163150435
10350	193.329091786448	1.09894796905339	0.269811269440091	4.0730247158835	4.64064975352736e-05	0.00760732098334989
4082	4484.70278844302	-0.256721212256469	0.0631573100805983	-4.06479015538904	4.80756967655093e-05	0.00781058373522506
84314	98.038183002534	-0.388220840048558	0.0962189300293351	-4.03476571533479	5.46568063158121e-05	0.00880119688250015
164781	64.7281719389626	-0.610076375082224	0.151541852194301	-4.02579463196746	5.67832317023758e-05	0.00906340073733711
6536	803.334484925639	0.309360899304423	0.0771569194889101	4.00950298889121	6.0846682931664e-05	0.00956220360512374
399665	891.219722858403	0.294834447956814	0.0735419243858009	4.00906626280423	6.09593107383136e-05	0.00956220360512374
4323	13114.3475286678	0.310541831806234	0.0776055998909659	4.00153896423116	6.29318292293638e-05	0.00978724414237182
25850	68.0577679254526	0.492534246089512	0.123285725045029	3.99506306110961	6.46770353953194e-05	0.00997341810214603
8882	720.885083553221	-0.215017908241938	0.05409840932804	-3.97456987946023	7.05065593616773e-05	0.0107809861692864
5912	477.736379106216	0.252247259472843	0.0637631285893003	3.95600506207236	7.62135465069326e-05	0.0115565141020012
503569	63.4075046206367	0.631647195023518	0.16038784366329	3.93824856420893	8.20785433289458e-05	0.0122418129050287
9235	24.623154040402	1.86598763766376	0.473764512826296	3.93863952901833	8.19449352381677e-05	0.0122418129050287
162993	187.655590286696	0.339852859099737	0.0864881099368224	3.92947492259909	8.51315539729934e-05	0.0125939329763625
4790	854.372820724787	0.237166324349507	0.060545530257562	3.91715661487472	8.9599541986258e-05	0.0130428261278556
55106	353.045485036821	-0.24626525667221	0.06285398875975	-3.91805295943147	8.92670965778176e-05	0.0130428261278556
1906	62.4647308383335	-0.73198868730187	0.188082498572256	-3.89184901763021	9.94831492507347e-05	0.0143666300298918
340419	26.7736906084079	-0.776859918929015	0.20081255046983	-3.86858250199721	0.00010946989707669	0.0156843641512398
8878	13653.1758776369	0.475831064723439	0.12310557149399	3.86522769805483	0.000110985610560452	0.0157772982012342
140733	21.7056402913459	0.843088053107125	0.21884813425665	3.85238857973726	0.000116971206055368	0.0164992873285541
9716	1206.72292866949	-0.180237603282872	0.0469400599358788	-3.83973952161717	0.000123164916208739	0.017239298579494
1503	1017.60004807025	-0.414699701333021	0.108379338639153	-3.8263723191166	0.00013004555263618	0.0180634265325797
375513	87.4382492696453	0.377870536995247	0.0989223351004317	3.8198707765199	0.000133521608207616	0.0184057513859529
51279	1510.29339511615	0.488603685789769	0.128111888663344	3.81388246545749	0.000136800547693788	0.0185762892972849
85464	703.997118873919	0.484871222765893	0.127099793283078	3.81488600603766	0.00013624581267728	0.0185762892972849
101926978	56.8492812317741	-0.663093127686981	0.174328428557068	-3.80370048175999	0.000142550524842783	0.0192136988891799
4664	726.879743613242	0.203025991836143	0.0535083435846646	3.79428661466414	0.00014806855731504	0.0198107019772387
246243	1131.98156755795	-0.124698380981766	0.0329895081575772	-3.77994059160062	0.000156865782752948	0.020534746640091
29028	671.908801413516	-0.391998490451957	0.103699961868412	-3.78012183793639	0.000156751633933669	0.020534746640091
4599	61.0864776011167	0.624213035598073	0.165078544342101	3.78130930391828	0.000156005700412942	0.020534746640091
51526	692.211267805069	0.184909784773139	0.0490103280983434	3.77287384002208	0.000161377900900134	0.0209745163198489
25890	12139.7532152166	0.473168907076196	0.126140621532094	3.75112236906021	0.000176044748897794	0.0224991101478518
